Cement,BlastFurnaceSlag,FlyAsh,Water,Superplasticizer,CoarseAggregate,FineAggregate,Age,class
425,106.3,0,153.5,16.5,852.1,887.1,3,33.39821744
264.5,111,86.5,195.5,5.9,832.6,790.4,28,41.54230795
133,200,0,192,0,927.4,839.2,28,27.8748252
167,75.4,167,164.03,7.91,1007.3,770.1,14,32.90179472
323.7,282.8,0,183.8,10.3,942.7,659.9,7,49.80085148
374.3,0,0,190.2,6.7,1013.2,730.4,28,39.0560575
382.5,0,0,185.7,0,1047.8,739.3,28,37.43785732
229.68,0,118.16,195.23,6.13,1028.1,757.63,3,13.35515012
273,105,82,210,9,904,680,28,37.16965116
186.2,124.1,0,185.7,0,1083.4,764.3,7,7.995853172
160,250,0,168,12,1049,688,28,39.45181672
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,56,50.77301264
277,116.8,91,190.6,7,946.5,665.6,28,43.57833058
304,140,0,214,6,895,722,28,33.41890172
446,24,79,162,11.64,967,712,28,44.42293868
272.8,181.9,0,185.7,0,1012.4,714.3,28,31.38150014
250.2,166.8,0,203.5,0,977.6,694.1,90,47.7144971
237,92,71,247,6,853,695,28,28.62704352
252,0,0,185,0,1111,784,28,19.69143456
144.8,0,133.6,180.8,11.1,979.5,811.5,28,13.20208645
337.9,189,0,174.9,9.5,944.7,755.8,3,24.0971862
312.7,0,0,178.1,8,999.7,822.2,28,25.10382116
310,142.8,0,167.9,10,914.3,804,28,45.30477848
322.5,148.6,0,185.8,8.5,951,709.5,28,52.42637609
491,26,123,201,3.93,822,699,3,29.54897143
349,0,0,192,0,1056,809,7,9.01145132
200,133,0,192,0,965.4,806.2,7,17.16588397
250,180,95,159,9.45,860,800,28,67.86512268
212.52,0,100.37,159.32,8.71,1007.8,903.59,3,13.54130864
251.81,0,99.94,146.14,12.35,1006,899.76,56,44.14025352
277,117,91,191,7,946,666,28,43.5748832
231.75,0,121.62,173.96,6.72,1056.4,778.45,28,33.72916592
451,0,0,165,11.25,1030,745,28,78.80021204
252,97,76,194,8,835,821,28,33.39821744
313.3,262.2,0,175.5,8.6,1046.9,611.8,3,28.79941252
276.4,116,90.3,179.6,8.9,870.1,768.3,28,44.284354
151,0,184,167,12,991,772,28,15.56836808
401.8,94.7,0,147.4,11.4,946.8,852.1,28,68.4994406
255,99,77,189,6,919,749,28,33.79811352
279.8,128.9,100.4,172.4,9.5,825.1,804.9,28,52.82696164
379.5,151.2,0,153.9,15.9,1134.3,605,3,28.59946448
233.81,0,94.58,197.89,4.567,947.04,852.16,3,10.38350856
231.75,0,121.62,173.96,6.72,1056.4,778.45,56,42.69924868
297.16,0,117.54,174.8,9.52,1022.8,753.45,14,36.9903874
288,192,0,192,0,932,717.8,7,23.52354217
299.8,0,119.8,211.5,9.9,878.2,727.6,28,23.8358748
236,157,0,192,0,972.6,749.1,7,20.41607384
250,0,0,182,0,1100,820,28,20.87043852
277.05,0,97.39,160.6,11.83,973.9,875.61,56,51.03501352
469,117.2,0,137.8,32.2,852.1,840.5,56,69.29923276
374,0,0,190,7,1013,730,28,39.05192064
355,19,97,145,12.25,967,871,28,55.45455468
475,0,0,228,0,932,594,7,38.60376124
446,24,79,162,11.61,967,712,7,52.00717468
166.09,0,163.27,176.46,4.49,1058.6,780.09,56,28.62704352
135,0,166,180,10,961,805,28,13.29309728
272.6,0,89.6,198.7,10.6,931.3,762.2,28,32.24541357
198.6,132.4,0,192,0,978.4,825.5,28,28.02168359
333,0,0,192,0,931.2,842.6,7,23.4049523
313.3,145,0,178.5,8,1001.9,688.7,28,41.05346947
350,0,0,186,0,1050,770,28,34.29453624
284,15,141,179,5.46,842,801,7,24.13166
155,184,143,194,9,880,699,28,28.98557104
331,0,0,192,0,1025,821,3,14.306627
266.2,112.3,87.5,177.9,10.4,909.7,744.5,28,39.42147978
252.31,0,98.75,146.25,14.17,987.76,889.01,14,42.29245784
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,28,39.1622368
312.7,144.7,0,127.3,8,999.7,822.2,28,44.52360218
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,3,15.81657944
297.16,0,117.54,174.8,9.52,1022.8,753.45,56,51.95891136
425,106.3,0,153.5,16.5,852.1,887.1,91,65.19685056
425,106.3,0,151.4,18.6,936,803.7,7,46.80163088
349,0,0,192,0,1047,806,7,18.12632404
380,95,0,228,0,932,594,90,40.56325203
387,20,94,157,14.32,938,845,7,36.83870268
252,0,0,185,0,1111,784,7,13.71367764
167.35,129.9,128.62,175.46,7.79,1006.3,746.6,56,51.72448952
290.35,0,96.18,168.08,9.41,961.18,865,14,34.67374804
151,0,185,167,16,1074,678,28,13.45857152
231.75,0,121.62,173.96,6.72,1056.4,778.45,14,26.77235308
182.04,45.21,121.97,170.21,8.19,1059.4,780.65,3,7.31534036
362.6,189,0,164.9,11.6,944.7,755.8,28,71.29871316
132,207,161,179,5,867,736,28,33.3016908
382,0,0,185,0,1047,739,7,24.00065956
446,24,79,162,11.64,967,712,7,39.300132
475,118.8,0,181.1,8.9,852.1,781.5,28,68.29949256
218.85,0,124.13,158.49,11.33,1078.7,794.91,3,15.340841
181.9,272.8,0,185.7,0,1012.4,714.3,28,27.93549909
298,137,107,201,6,878,655,28,53.52402188
388.6,97.1,0,157.9,12.1,852.1,925.7,91,57.59882504
251.37,0,118.27,192.94,5.75,1043.6,754.3,3,11.98309288
149,117.6,91.7,182.9,7.1,953.4,780.3,28,23.52423164
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,56,39.14844728
166.8,250.2,0,203.5,0,975.6,692.6,90,43.56523054
349,0,0,192,0,1047,806,28,32.72253096
190.34,0,125.18,161.85,9.88,1088.1,802.59,28,28.46846404
144,0,175,158,18,943,844,28,15.41668336
154.8,0,142.8,193.3,9.1,1047.4,696.7,28,12.4595208
469,117.2,0,137.8,32.2,852.1,840.5,91,70.69886904
302,0,0,203,0,974,817,28,21.7529678
280,129,100,172,9,825,805,28,52.82075636
190.34,0,125.18,161.85,9.88,1088.1,802.59,3,9.4458212
277.05,0,97.39,160.6,11.83,973.9,875.61,28,48.28400428
159,187,0,176,11,990,789,28,32.76389952
275,0,0,183,0,1088,808,28,24.49708228
145.9,230.5,0,202.5,3.4,827,871.8,28,32.72046253
166.09,0,163.27,176.46,4.49,1058.6,780.09,28,21.53923024
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,56,32.8535314
531.3,0,0,141.8,28.2,852.1,893.7,56,58.79851328
376,0,0,214.6,0,1003.5,762.36,3,16.27852836
387,20,94,157,14.32,938,845,3,22.752708
145,116,119,184,5.7,833,880,28,29.15794004
212.07,0,121.62,180.31,5.69,1057.6,779.32,14,20.91870184
450.1,50,0,200,3,1124.4,613.2,28,39.37597436
310,0,0,192,0,1012,830,7,17.24379476
425,106.3,0,151.4,18.6,936,803.7,91,66.69990824
387,20,94,157,13.93,938,845,3,25.510612
158.8,238.2,0,185.7,0,1040.6,734.3,7,9.617500724
287,121,94,188,9,904,696,28,41.94082508
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3011712
172.38,13.61,172.37,156.76,4.14,1006.3,856.4,28,33.68779736
332.5,142.5,0,228,0,932,594,90,37.72192144
379.5,151.2,0,153.9,15.9,1134.3,605,7,47.09810556
385,0,136,158,20,903,768,28,55.55108132
355.9,0,141.6,193.3,11,801.4,778.4,28,40.8686899
297.16,0,117.54,174.8,9.52,1022.8,753.45,3,21.91154728
296,0,0,192,0,1085,765,28,21.6495464
213.5,0,174.24,159.21,11.66,1043.6,771.9,28,44.63667624
469,117.2,0,137.8,32.2,852.1,840.5,7,54.89607912
261.9,110.5,86.1,195.4,5,895.2,732.6,28,33.71882378
166.8,250.2,0,203.5,0,975.6,692.6,3,6.902344236
500,0,0,200,0,1125,613,7,33.21205892
439,177,0,186,11.1,884.9,707.9,3,39.300132
148,0,137,158,16,1002,830,28,17.95395504
184,86,190,213,6,923,623,28,22.93197176
525,0,0,189,0,1125,613,90,58.78472376
213.5,0,174.24,154.61,11.66,1052.3,775.48,14,33.70158688
339,0,0,197,0,968,781,14,27.04124872
213.72,98.05,24.51,181.71,6.86,1065.8,785.38,28,45.70536404
255,0,0,192,0,889.8,945,7,10.22217118
260,101,78,171,10,936,763,28,49.77327244
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,14,23.5111316
275.07,0,121.35,159.48,9.9,1053.6,777.5,28,51.3314882
160,188,146,203,11,829,710,28,32.83974188
190,190,0,228,0,932,670,28,40.85696881
252.1,97.1,75.6,193.8,8.3,835.5,821.4,28,33.39959639
331,0,0,192,0,1025,821,90,37.91428524
154,174,185,228,7,845,612,28,24.3385028
491,26,123,210,3.93,882,699,7,33.48883428
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,28,31.11605188
286.3,200.9,0,144.7,11.2,1004.6,803.7,7,37.99702236
178.03,129.8,118.6,179.94,3.57,1007.3,746.8,56,48.58737372
251.81,0,99.94,146.14,12.35,1006,899.76,3,21.02212324
157,214,152,200,9,819,704,28,33.05347944
359,19,141,154,10.91,942,801,56,68.75060685
289,0,0,192,0,913.2,895.3,90,32.06821824
376,0,0,214.6,0,1003.5,762.36,56,36.3009114
212.52,0,100.37,159.32,8.71,1007.8,903.59,28,31.64005364
236,0,0,194,0,968,885,90,21.94602108
491,26,123,210,3.93,882,699,3,25.60910857
318.8,212.5,0,155.7,14.3,852.1,880.4,3,25.2003478
251.81,0,99.94,146.14,12.35,1006,899.76,28,33.94290348
339,0,0,197,0,968,781,7,20.96696516
425,106.3,0,153.5,16.5,852.1,887.1,7,49.20100736
108.3,162.4,0,203.5,0,938.2,849,90,29.23171397
210.7,316.1,0,185.7,0,977,689.3,28,37.81362174
277,0,0,191,0,968,856,3,11.36256448
236,0,0,193,0,968,885,7,9.99050724
133,200,0,192,0,927.4,839.2,3,6.883728384
339,0,0,197,0,968,781,3,13.22414968
313.3,145,0,178.5,8,867.2,824,28,40.92522693
350,0,0,203,0,974,775,14,22.53207568
427.5,47.5,0,228,0,932,594,90,41.54299743
102,153,0,192,0,887,942,28,17.27551066
149,236,0,176,13,847,893,28,32.9569528
150.9,0,183.9,166.6,11.6,991.2,772.2,28,15.56974703
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,14,38.60376124
313.8,0,112.6,169.9,10.1,925.3,782.9,28,38.46103971
286.3,200.9,0,144.7,11.2,1004.6,803.7,91,76.80073164
166,259.7,0,183.2,12.7,858.8,826.8,28,37.91704314
251.37,0,118.27,188.45,6.35,1028.4,757.73,3,13.12072828
261,100,78,201,9,864,761,28,32.39847724
310,143,0,168,10,914,804,28,45.2985732
275,180,120,162,10.35,830,765,28,76.23536132
439,177,0,186,11.1,884.9,707.9,7,56.09576736
238.05,0,94.11,186.66,7,949.91,847.01,28,30.2335226
255.3,98.8,77,188.6,6.5,919,749.3,28,33.798803
540,0,0,173,0,1125,613,28,67.30664712
355,19,97,145,13.13,967,871,28,44.02993736
228,342.1,0,185.7,0,955.8,674.3,7,21.91706309
401.8,94.7,0,147.4,11.4,946.8,852.1,56,73.69808964
339.2,0,0,185.7,0,1069.2,754.3,7,21.17932377
439,177,0,186,11.1,884.9,707.9,91,73.29819356
318.8,212.5,0,155.7,14.3,852.1,880.4,56,66.10006412
349,0,0,192,0,1047,806,90,39.48629052
139.6,209.4,0,192,0,1047,806.9,90,39.35804798
153.1,145,113,178.5,8,1001.9,688.7,28,25.5595648
168.88,42.22,124.25,158.33,10.83,1080.8,796.15,3,7.39807748
272.8,105.1,81.8,209.7,9,904,679.7,28,37.17103011
181.38,0,167.01,169.59,7.56,1055.6,777.8,14,21.60128308
425,106.3,0,153.5,16.5,852.1,887.1,56,64.30053176
148.1,0,182.1,181.4,15,838.9,884.3,28,15.52631004
277.05,0,97.39,160.6,11.83,973.9,875.61,14,41.885667
144,170,133,192,8,814,805,28,29.86810032
149,118,92,183,7,953,780,28,23.51802636
305.3,203.5,0,203.5,0,965.4,631,7,25.89396066
480,0,0,192,0,936.2,712.2,3,24.4046925
251.81,0,99.94,146.14,12.35,1006,899.76,14,33.35684888
397,0,0,185,0,1040,734,28,39.0932892
148.5,139.4,108.6,192.7,6.1,892.4,780,28,23.69660064
147.8,175.1,0,171.2,2.2,1000,828.5,28,26.92265885
374,189.2,0,170.1,10.1,926.1,756.7,28,61.09446836
116,173,0,192,0,909.8,891.9,3,6.280436884
304.8,0,99.6,196,9.8,959.4,705.2,28,30.12320644
213.5,0,174.24,159.21,11.66,1043.6,771.9,3,15.60973664
528,0,0,185,6.86,920,720,28,56.83350668
331,0,0,192,0,978,825,28,31.44700036
143,169,143,191,8,967,643,28,29.72331036
380,95,0,228,0,932,594,7,32.82319446
333,0,0,192,0,931.2,842.6,3,15.61594192
153,145,113,178,8,1002,689,28,25.55887532
385,0,0,186,0,966,763,28,31.35047372
167.95,42.08,163.83,121.75,5.72,1058.7,780.11,14,17.8229546
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28,32.40123514
393,0,0,192,0,940.6,785.6,3,19.1991487
173.81,93.37,159.9,172.34,9.73,1007.2,746.6,56,48.9872698
350,0,0,203,0,974,775,28,27.3377234
212,141.3,0,203.5,0,973.4,750,7,15.0305768
326,166,0,174,9,882,790,28,61.23236356
323.7,282.8,0,183.8,10.3,942.7,659.9,28,74.69782984
318.8,212.5,0,155.7,14.3,852.1,880.4,91,68.09954452
275,0,0,183,0,1088,808,7,14.2032056
150.7,0,185.3,166.7,15.6,1074.5,678,28,13.46132942
212.57,0,100.39,159.35,10.37,1003.8,903.79,14,25.3727168
238,0,0,186,0,1119,789,28,17.54026944
212.57,0,100.39,159.35,10.37,1003.8,903.79,28,37.404073
251.37,0,118.27,188.45,6.35,1028.4,757.73,28,32.66047812
331,0,0,192,0,1025,821,7,17.43684804
116,173,0,192,0,909.8,891.9,90,31.0236621
295,0,0,185,0,1069,769,28,25.17966352
359,19,141,154,10.91,942,801,7,35.75425543
142,167,130,174,11,883,785,28,44.6090972
362.6,189,0,164.9,11.6,944.7,755.8,91,79.29663476
387,20,94,157,11.61,938,845,3,34.77027468
213.76,98.06,24.52,181.74,6.65,1066,785.52,28,40.2309246
362.6,189,0,164.9,11.6,944.7,755.8,7,55.89581932
252.31,0,98.75,146.25,14.17,987.76,889.01,56,55.82687172
222.36,0,96.67,189.29,4.46,967.08,870.32,28,24.8900836
144,136,106,178,7,941,774,28,26.14492992
145.4,0,178.9,201.7,7.8,824,868.7,28,10.53588276
491,26,123,201,3.93,822,699,7,37.92118
436,0,0,218,0,838.4,719.7,28,23.84897484
277.19,97.82,24.46,160.7,11.19,1061.7,782.46,56,66.82401392
275.07,0,121.35,159.48,9.9,1053.6,777.5,3,23.80071152
446,24,79,162,11.64,967,712,3,25.02108404
162,190,148,179,19,838,741,28,33.75674496
500.1,0,0,200,3,1124.4,613.2,28,44.13335876
424,22,132,168,8.92,822,750,28,72.09850532
212.07,0,121.62,180.31,5.69,1057.6,779.32,28,24.90387312
229.97,0,118.31,195.47,4.63,1029.4,758.59,28,24.48329276
318.8,212.5,0,155.7,14.3,852.1,880.4,28,55.49592324
480,0,0,192,0,936.2,712.2,7,34.56963716
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,3,23.07676172
425,106.3,0,153.5,16.5,852.1,887.1,7,49.20100736
393,0,0,192,0,940,758,90,48.79421652
139.7,163.9,127.7,236.7,5.8,868.6,655.6,28,35.22532884
388.6,97.1,0,157.9,12.1,852.1,925.7,56,55.19944856
336,0,0,182,3,986,817,28,44.86420332
500,0,0,200,0,1125,613,1,12.63809508
159.1,186.7,0,175.6,11.3,989.6,788.9,28,32.76803638
237.5,237.5,0,228,0,932,594,28,30.07976945
145,0,134,181,11,979,812,28,13.19657064
380,0,0,228,0,932,670,90,52.90831981
181.9,272.8,0,185.7,0,1012.4,714.3,7,12.37264682
160,128,122,182,6.4,824,879,28,39.39665864
480,0,0,192,0,936,721,3,24.39366088
302,0,0,203,0,974,817,14,18.12632404
446,24,79,162,11.61,967,712,3,35.36322404
307,0,0,193,0,968,812,90,32.922479
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3011712
385,0,0,186,0,966,763,14,27.923778
520,0,0,170,5.2,855,855,28,60.28088668
236,157,0,192,0,972.6,749.1,90,47.78206575
349,0,0,192,0,1047,806,3,14.98920824
250,0,95.69,187.42,5.53,956.86,861.17,3,13.81709904
296,0,106.7,221.4,10.5,819.2,778.4,28,31.4201108
375,93.8,0,126.6,23.4,852.1,992.6,91,62.5009994
298.1,0,107,186.4,6.1,879,815.2,28,42.6440906
525,0,0,189,0,1125,613,14,48.4012152
284,119.7,0,168.3,7.2,970.4,794.2,28,40.9348796
194.68,0,100.52,170.17,7.48,998,901.8,3,12.17614616
531.3,0,0,141.8,28.2,852.1,893.7,28,56.3991368
140,133,103,200,7,916,753,28,36.4388066
290.35,0,96.18,168.08,9.41,961.18,865,3,22.50449664
425,106.3,0,151.4,18.6,936,803.7,3,36.3009114
310,0,0,192,0,1012,830,90,35.76312012
251.37,0,118.27,188.45,5.75,1028.4,757.73,56,36.96970312
303.6,139.9,0,213.5,6.2,895.5,722.5,28,33.4195912
203.5,305.3,0,203.5,0,963.4,630,3,9.561653168
218.85,0,124.13,158.49,11.33,1078.7,794.91,28,30.21973308
146.5,114.6,89.3,201.9,8.8,860,829.5,28,19.98790924
381.4,0,0,185.7,0,1104.6,784.3,28,22.48932817
388.6,97.1,0,157.9,12.1,852.1,925.7,28,50.69717028
200,133,0,192,0,965.4,806.2,90,43.25082948
246.83,0,125.08,143.3,11.99,1086.8,800.89,3,23.52492112
382,0,0,186,0,1047,739,7,24.00065956
141.3,212,0,203.5,0,971.8,748.5,3,4.827710952
183.9,122.6,0,203.5,0,959.2,800,7,10.7875415
290.2,193.5,0,185.7,0,998.2,704.3,7,21.8591471
192,288,0,192,0,929.8,716.1,28,39.32150576
387,20,94,157,13.93,938,845,56,47.96684532
190.68,0,125.4,162.14,7.77,1090,804.01,56,35.34253976
385,0,0,186,0,966,763,7,23.22155168
296,0,107,221,11,819,778,28,31.41942132
295.8,0,0,185.7,0,1091.4,769.3,7,14.8437288
212,141.3,0,203.5,0,973.4,750,90,39.70002808
167,75.4,167,164.03,7.91,1007.3,770.1,28,41.40992856
362.6,189,0,164.9,11.6,944.7,755.8,91,79.29663476
218.23,54.64,123.78,140.75,11.91,1075.7,792.67,56,61.99078716
170.3,155.5,0,185.7,0,1026.6,724.3,28,25.72641799
480,0,0,192,0,936,721,90,54.27555072
385,0,0,186,0,966,763,1,6.26733684
313.3,0,113,178.5,8,1001.9,688.7,28,36.80491836
262,111,86,195,5,895,733,28,33.7153764
212,0,124.78,159,7.84,1085.4,799.54,3,19.51906556
139.9,132.6,103.3,200.3,7.4,916,753.4,28,36.44363293
362.6,189,0,164.9,11.6,944.7,755.8,3,35.3011712
314,145,113,179,8,869,690,28,46.2293658
425,106.3,0,153.5,16.5,852.1,887.1,56,64.30053176
425,106.3,0,153.5,16.5,852.1,887.1,3,33.39821744
424,22,132,178,8.48,822,750,28,62.05284
288,121,0,177,7,908,829,28,42.13387836
238.05,0,94.11,186.66,7,949.91,847.01,14,25.68987576
173,116,0,192,0,946.8,856.8,90,32.10269204
313.3,262.2,0,175.5,8.6,1046.9,611.8,56,64.90037588
331,170,0,195,8,811,802,28,56.61287436
362.6,189,0,164.9,11.6,944.7,755.8,7,55.89581932
425,106.3,0,153.5,16.5,852.1,887.1,7,49.20100736
141.9,166.6,129.7,173.5,10.9,882.6,785.3,28,44.6118551
236,157,0,192,0,972.6,749.1,3,13.5654403
277,0,0,191,0,968,856,90,31.25394708
213.74,0,174.74,154.79,10.16,1053.5,776.35,14,33.72916592
359,19,141,154,10.91,942,801,7,38.610656
334,17.6,158,189,15.3,967,633,28,44.32641204
203.5,305.3,0,203.5,0,963.4,630,7,19.53906036
200,133,0,192,0,965.4,806.2,28,30.43967592
296,0,0,192,0,1085,765,7,14.2032056
284,15,141,179,5.46,842,801,56,44.52045028
164.2,0,200.1,181.2,12.6,849.3,846,28,15.09125069
134.7,0,165.7,180.2,10,961,804.9,28,13.29378676
480,0,0,192,0,936.2,712.2,28,43.94237391
158,0,195,220,11,898,713,28,8.53571288
331,0,0,192,0,1025,821,28,31.74347504
296,0,0,192,0,1085,765,90,29.39236188
233.81,0,94.58,197.89,4.567,947.04,852.16,28,22.83544512
194.68,0,100.52,170.17,7.48,998,901.8,28,37.2661778
190.34,0,125.18,166.61,9.88,1079,798.9,3,12.5484632
202,11,141,206,1.72,942,801,3,9.849657146
153,239,0,200,6,1002,684,28,26.8550902
284,15,141,179,5.46,842,801,3,13.39553372
424,22,132,178,8.48,822,750,7,39.00464228
143,169.4,142.7,190.7,8.4,967.4,643.5,28,29.72606826
359,19,141,154,10.91,942,801,28,62.93536928
160.2,188,146.4,203.2,11.3,828.7,709.7,28,35.31427124
154.8,0,142.8,193.3,9.1,877.2,867.7,28,9.738159024
273,0,90,199,11,931,762,28,32.23989776
397,0,0,185.7,0,1040.6,734.3,7,25.44786968
151.8,178.1,138.7,167.5,18.3,944,694.6,28,36.3498642
213.5,0,174.24,154.61,11.66,1052.3,775.48,3,17.36790044
385,0,0,186,0,966,763,3,14.69962832
388.6,97.1,0,157.9,12.1,852.1,925.7,7,34.90127512
356,0,142,193,11,801,778,28,40.86524252
255.5,170.3,0,185.7,0,1026.6,724.3,7,17.23621052
135,105,193,196,6,965,643,28,21.91154728
288.4,121,0,177.4,7,907.9,829.5,28,42.14008364
254,0,0,198,0,968,863,90,26.94472208
305.3,203.5,0,203.5,0,965.4,631,28,43.37700359
159,209,161,201,7,848,669,28,30.88163004
154.8,183.4,0,193.3,9.1,877.2,867.7,28,23.786922
522,0,0,146,0,896,896,7,50.51101176
222.36,0,96.67,189.29,4.46,967.08,870.32,3,11.57630204
389.9,189,0,145.9,22,944.7,755.8,28,74.4978818
500,0,0,151,9,1033,655,28,69.83702404
214.9,53.8,121.89,155.63,9.61,1014.3,780.58,28,52.20022796
289,0,0,192,0,913.2,895.3,3,11.6549023
173,116,0,192,0,946.8,856.8,3,6.940954892
337.9,189,0,174.9,9.5,944.7,755.8,91,67.79617508
425,106.3,0,151.4,18.6,936,803.7,28,61.79773388
475,118.8,0,181.1,8.9,852.1,781.5,7,55.59934464
165,0.02,143.57,163.81,0,1005.6,900.9,28,26.200088
359,19,141,154,10.91,942,801,3,23.63917715
250,0,95.69,187.42,5.53,956.86,861.17,14,24.91766264
194.68,0,100.52,170.17,7.48,998,901.8,14,24.28334472
145.7,172.6,0,181.9,3.4,985.8,816.8,28,23.74417449
212,141.3,0,203.5,0,973.4,750,3,6.8085755
166,260,0,183,13,859,827,28,37.91428524
239.6,359.4,0,185.7,0,941.6,664.3,28,39.4352693
213.76,98.06,24.52,181.74,6.65,1066,785.52,3,13.18278112
181.38,0,167.01,169.59,7.56,1055.6,777.8,56,35.57006684
157,236,0,192,0,935.4,781.2,28,33.66435518
362.6,189,0,164.9,11.6,944.7,755.8,28,71.29871316
151.6,0,111.9,184.4,7.9,992,815.9,28,12.18097249
159,149,116,175,15,953,720,28,27.67556664
397,17.2,158,167,20.8,967,633,28,55.64760796
173.54,50.05,173.53,164.77,6.47,1006.2,793.5,14,33.00521612
198.6,132.4,0,192,0,978.4,825.5,7,14.63826496
326,0,138,199,11,801,792,28,40.679084
154,144,112,220,10,923,658,28,16.49916068
153,145,0,178,8,1000,822,28,19.00885332
425,106.3,0,151.4,18.6,936,803.7,56,64.90037588
393,0,0,192,0,940,758,3,19.10537996
322,0,116,196,10,818,813,28,31.17810472
425,106.3,0,153.5,16.5,852.1,887.1,91,65.19685056
333,0,0,192,0,931.2,842.6,90,41.68020315
198.6,132.4,0,192,0,978.4,825.5,90,38.07424367
313.3,262.2,0,175.5,8.6,1046.9,611.8,28,59.79825348
203.5,135.7,0,185.7,0,1076.2,759.3,28,22.62998127
